               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,             0.12169,            0.025631,                   0,             0.60686,             0.35321,              0.3781,             0.12834,              0.1157,            0.054737,                   0,              0.0046,              0.0046,              0.0046
                  92,             0.12103,            0.025406,                   0,             0.60498,             0.35292,              0.3791,             0.12792,             0.11568,            0.054689,                   0,             0.00454,             0.00454,             0.00454
                  93,             0.12092,            0.024644,                   0,             0.61006,             0.34977,             0.37836,             0.12829,             0.11557,            0.054698,                   0,             0.00448,             0.00448,             0.00448
                  94,             0.12123,            0.024665,                   0,             0.60488,               0.355,             0.38107,             0.13016,             0.11557,            0.054581,                   0,             0.00442,             0.00442,             0.00442
                  95,             0.12074,            0.024306,                   0,             0.60006,             0.35456,             0.37927,             0.12979,             0.11558,            0.054653,                   0,             0.00436,             0.00436,             0.00436
                  96,             0.12147,            0.025463,                   0,             0.60581,             0.35758,              0.3818,             0.13027,             0.11549,            0.054758,                   0,              0.0043,              0.0043,              0.0043
                  97,             0.12175,            0.025473,                   0,             0.60008,             0.36103,              0.3833,             0.12921,             0.11562,            0.054838,                   0,             0.00424,             0.00424,             0.00424
                  98,              0.1214,            0.025003,                   0,             0.60781,             0.36094,             0.38346,              0.1297,             0.11564,            0.054737,                   0,             0.00418,             0.00418,             0.00418
                  99,             0.12206,            0.024952,                   0,             0.60065,             0.36049,             0.38145,             0.12999,             0.11554,            0.054537,                   0,             0.00412,             0.00412,             0.00412
                 100,              0.1212,            0.025558,                   0,             0.60079,             0.35671,             0.37913,             0.12926,             0.11553,            0.054651,                   0,             0.00406,             0.00406,             0.00406
                 101,             0.12071,            0.024508,                   0,             0.60234,             0.36008,             0.38217,             0.12995,             0.11555,            0.054601,                   0,               0.004,               0.004,               0.004
                 102,             0.12142,            0.025122,                   0,             0.60897,             0.35772,             0.38402,             0.13056,              0.1155,            0.054635,                   0,             0.00394,             0.00394,             0.00394
                 103,             0.12146,            0.025174,                   0,             0.60776,             0.36151,             0.38602,             0.13107,             0.11536,            0.054597,                   0,             0.00388,             0.00388,             0.00388
                 104,             0.12094,            0.025036,                   0,             0.61717,             0.36015,              0.3875,              0.1321,             0.11531,            0.054593,                   0,             0.00382,             0.00382,             0.00382
                 105,             0.12121,             0.02479,                   0,             0.61594,             0.35951,             0.38725,             0.13227,              0.1153,            0.054611,                   0,             0.00376,             0.00376,             0.00376
                 106,             0.12073,            0.024699,                   0,             0.61212,             0.36316,             0.38856,             0.13167,             0.11527,            0.054754,                   0,              0.0037,              0.0037,              0.0037
                 107,             0.12052,            0.025556,                   0,             0.61638,             0.36194,             0.38988,             0.13245,             0.11528,            0.054811,                   0,             0.00364,             0.00364,             0.00364
                 108,             0.12055,            0.025018,                   0,             0.61767,             0.36109,             0.38999,              0.1331,             0.11529,            0.054869,                   0,             0.00358,             0.00358,             0.00358
                 109,             0.12077,            0.025591,                   0,             0.61547,             0.36359,             0.39116,             0.13308,             0.11523,            0.054891,                   0,             0.00352,             0.00352,             0.00352
                 110,             0.12053,            0.025288,                   0,             0.62269,             0.36246,             0.39299,             0.13363,             0.11519,            0.054931,                   0,             0.00346,             0.00346,             0.00346
                 111,             0.12039,            0.024788,                   0,              0.6184,             0.36195,             0.39118,             0.13325,              0.1152,            0.054976,                   0,              0.0034,              0.0034,              0.0034
                 112,             0.12021,            0.024564,                   0,             0.62399,             0.35937,             0.39075,             0.13289,             0.11525,            0.054916,                   0,             0.00334,             0.00334,             0.00334
                 113,             0.11948,            0.025061,                   0,             0.62365,             0.35872,             0.39006,             0.13313,             0.11523,            0.054957,                   0,             0.00328,             0.00328,             0.00328
                 114,             0.12019,             0.02472,                   0,             0.62675,             0.36014,             0.39123,             0.13289,             0.11515,            0.054979,                   0,             0.00322,             0.00322,             0.00322
                 115,             0.12014,            0.025762,                   0,             0.62673,             0.36008,             0.39248,              0.1336,             0.11511,            0.054988,                   0,             0.00316,             0.00316,             0.00316
                 116,             0.12106,            0.024682,                   0,             0.63028,             0.36148,             0.39319,             0.13457,             0.11509,             0.05494,                   0,              0.0031,              0.0031,              0.0031
                 117,             0.12031,            0.025247,                   0,             0.62541,             0.36338,             0.39258,             0.13486,             0.11502,            0.054964,                   0,             0.00304,             0.00304,             0.00304
